iter	Passed	Remaining
0	3	3120
1	7	3659
2	11	3852
3	16	4010
4	19	3921
5	23	3889
6	27	3900
7	32	3971
8	36	3985
9	39	3950
10	43	3926
11	48	3975
12	52	3986
13	56	3982
14	60	3964
15	64	3994
16	69	3991
17	73	4004
18	77	4017
19	82	4021
20	86	4031
21	90	4020
22	94	4026
23	99	4040
24	103	4025
25	107	4030
26	112	4061
27	116	4055
28	121	4058
29	125	4068
30	130	4072
31	134	4062
32	138	4066
33	143	4088
34	148	4080
35	152	4085
36	157	4090
37	162	4104
38	166	4112
39	171	4116
40	176	4126
41	181	4132
42	185	4121
43	189	4118
44	194	4117
45	198	4107
46	202	4107
47	206	4102
48	210	4093
49	215	4099
50	219	4090
51	224	4090
52	228	4089
53	233	4092
54	238	4098
55	243	4101
56	247	4092
57	251	4089
58	255	4082
59	259	4072
60	264	4070
61	268	4059
62	272	4055
63	276	4047
64	280	4034
65	284	4024
66	288	4019
67	293	4018
68	297	4008
69	301	4007
70	306	4011
71	310	4002
72	314	4000
73	319	4004
74	324	3997
75	327	3984
76	332	3980
77	336	3981
78	340	3971
79	344	3963
80	348	3955
81	352	3942
82	356	3937
83	359	3924
84	364	3924
85	369	3923
86	373	3918
87	376	3904
88	380	3889
89	383	3879
90	386	3865
91	390	3850
92	393	3842
93	397	3832
94	401	3824
95	405	3816
96	409	3807
97	412	3798
98	416	3794
99	420	3785
100	424	3777
101	428	3770
102	431	3761
103	435	3749
104	438	3740
105	443	3741
106	448	3739
107	451	3728
108	455	3720
109	458	3709
110	462	3701
111	465	3690
112	468	3680
113	472	3669
114	475	3659
115	479	3653
116	483	3645
117	486	3636
118	489	3627
119	493	3621
120	497	3614
121	500	3604
122	504	3597
123	507	3587
124	511	3580
125	514	3571
126	517	3560
127	521	3551
128	525	3545
129	528	3537
130	532	3529
131	535	3519
132	538	3511
133	542	3505
134	546	3498
135	549	3489
136	552	3480
137	555	3472
138	560	3471
139	564	3467
140	568	3463
141	571	3454
142	576	3454
143	580	3451
144	584	3447
145	588	3444
146	593	3443
147	597	3440
148	601	3432
149	605	3429
150	608	3422
151	611	3413
152	615	3405
153	618	3397
154	622	3391
155	626	3387
156	629	3382
157	633	3374
158	636	3369
159	640	3362
160	643	3355
161	647	3350
162	651	3345
163	655	3340
164	659	3335
165	662	3328
166	666	3322
167	669	3317
168	673	3309
169	676	3302
170	679	3295
171	683	3288
172	686	3282
173	690	3275
174	693	3268
175	696	3261
176	700	3254
177	703	3250
178	707	3243
179	710	3235
180	713	3227
181	716	3221
182	720	3214
183	723	3207
184	726	3200
185	729	3194
186	733	3187
187	736	3182
188	740	3177
189	743	3171
190	747	3167
191	751	3162
192	755	3158
193	758	3152
194	761	3145
195	765	3140
196	769	3136
197	772	3130
198	776	3126
199	780	3122
200	783	3116
201	787	3109
202	790	3104
203	794	3099
204	798	3095
205	802	3092
206	805	3086
207	808	3080
208	812	3075
209	816	3069
210	819	3064
211	823	3060
212	826	3055
213	830	3051
214	834	3045
215	837	3041
216	841	3035
217	845	3032
218	851	3037
219	855	3033
220	859	3029
221	863	3027
222	867	3023
223	871	3020
224	876	3017
225	879	3012
226	883	3009
227	887	3003
228	890	2999
229	894	2995
230	898	2989
231	901	2984
232	905	2979
233	908	2974
234	911	2968
235	915	2962
236	918	2956
237	922	2952
238	926	2948
239	929	2944
240	933	2940
241	938	2939
242	942	2936
243	946	2931
244	949	2926
245	952	2920
246	957	2917
247	960	2912
248	963	2907
249	967	2902
250	970	2897
251	974	2892
252	977	2886
253	981	2881
254	984	2877
255	988	2873
256	992	2869
257	995	2864
258	999	2858
259	1002	2853
260	1006	2848
261	1009	2844
262	1013	2839
263	1016	2833
264	1019	2828
265	1023	2823
266	1026	2817
267	1029	2812
268	1033	2808
269	1037	2805
270	1041	2802
271	1045	2797
272	1048	2792
273	1052	2788
274	1056	2784
275	1059	2779
276	1063	2775
277	1067	2771
278	1070	2767
279	1074	2761
280	1077	2756
281	1081	2753
282	1085	2749
283	1088	2744
284	1092	2740
285	1095	2735
286	1099	2731
287	1102	2726
288	1106	2721
289	1109	2716
290	1113	2712
291	1116	2706
292	1119	2701
293	1122	2696
294	1126	2692
295	1130	2688
296	1133	2683
297	1137	2678
298	1140	2673
299	1143	2669
300	1148	2666
301	1151	2662
302	1155	2657
303	1158	2652
304	1162	2649
305	1166	2645
306	1169	2639
307	1173	2636
308	1176	2631
309	1180	2627
